,CANT,CVE_ART,DESCR
851,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V
852,12,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT"
853,10,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS"
854,1,TUE00061,"TUB COBRE 7/16""Øx415MM 18KW 500V ""J"" 3PZ"
855,10,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
856,4,PT00089,"PT-100 3/8""ØX4"" EXT.1.5MT CON-1/4""NPT"
857,5,PJ04F1H1A400,"TER J 4MMØX4"" EXT 5MT F/MALLA/RES/ZAP ES"
858,5,PK04F1H1A400,"TER K 4MMØX4"" EXT 5MT F/MALLA/RES/ZAP ES"
859,1,TUA00438,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2"""
860,5,WRE-2774,BAN MICA Ø120MM X 50 MM 700W 440V T TOR
861,1,RM00043,RESISTENCIA 10CMX10CM 1060W120V B/CERAMI
862,1,TUE00369,"TUB INOX 5/16""ØX150MMX221MM 1000W127V BU"
863,2,BL00059,BAN M/LUNA 165MMØX178MM 2000W 440V T/TOR
864,2,BP00239,BAN P COMUN 10CMX15CM 500W440V T/TOR4ORI
865,2,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO
866,1,EE00063,FABRICACIÓN ESPECIAL 1300W 115V
867,1,MA00021,"TERMOPOZO 3/8""ØX10CM CONEC 1/2""-1/2""NPT"
868,10,P114R1AB0600,"PT-100 1/4""ØX3 1/2"" CON 1/2""-1/2""NPT C/M"
869,6,CAS00068,"CAS INOX 3/4""ØX12"" 4000W 260V EXT12"" FV"
870,6,CAS00069,"CAS INOX 3/4""ØX24"" 2700W 220V EXT.12"" FV"
871,6,CAS00070,"CAS INOX 3/4""ØX85MM 500W 240V EXT.12"" FV"
872,6,CAS00071,"CAS INOX 3/4""ØX260CM 2000W260V EXT.12""FV"
873,10,70001690,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V
874,6,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V
875,16,97020238,"TUBULAR ""U"" 11mmØx510mm 3kW 289/500W 3pz"
876,3,TUA00468,"TUB INOX 7/16""ØX595MM 5000W 220V ""U"" BUS"
877,5,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
878,5,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
879,7,TUE00368,"TUB INOX 5/16""ØX132CM 1500W 127V ESP-BUS"
880,3,RPISTOLA01,PISTOLA DE AIRE 3500W 220V
881,1,TUA00222,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON"
882,10,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
883,5,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
884,2,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
885,3,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
886,3,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
887,4,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz"
888,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
889,4,ECQ-00971,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz"
890,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
891,4,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
892,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
893,4,PJ31L1H1G400,"TER J 3/16""ØX45CM EXT5MT RES/CLAV/MACH"
894,1,TUS00125,"TUB INOX 1/4""ØX110CM 1100W120V RECTA PLA"
895,4,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V"
896,1,TUA00471,"TUB INOX 5/16""ØX24CM 750W220V J TAPBOY"
897,4,RPISTOLA01,PISTOLA DE AIRE 3500W 220V
898,3,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316"""
899,2,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316"""
900,4,70001691,CALTA 8MM Ø X 240 MM 500 W 220 V RECTO
901,1,TJ00093,"TER J ESCUADRA 3/16""ØX25CMX5CM EXT 1.5MT"
902,1,TUA00470,"TUB INOX 1/2""ØX500MM 10KW 220V 2 1/2""NPT"
903,2,TUA00467,"TUB INOX 7/16""ØX58CM 4200W 480V ""U"" PLAC"
904,12,TUA00453,"TUB INOX 5/8""ØX485MM 750W 254V RECTA/ALE"
905,2,BN00264,BAN INOX 40MMØX170MM 700W 240V T/TOR
906,1,TUA00469,"TUB INOX 7/16""ØX650MM 7600W 220V 2""NPT"
907,30,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX
908,1,RP00209,REAPARACION DE HORNO 1500W 127V
909,1,TP0018,"TERMOPAR CERAMICO T/ K"" LONG 18"" CAL.14"""
910,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
911,5,65014-40,"CAE 9.4MMØX2.372"" 150W120V ESC90° EXT22"""
912,4,67234-15,TJ 4MMØX30MM EXT.70.66CM MALLA INOX/ZAP
913,1,PJ06C1CHB000,"TER J 6MMØX2""  EXT.50CM F/SILICON Z/PIN"
914,2,TUA00065,"TU Ø 3/8X 1155 MM ""J"" 1500W 440 V"
915,1,TUA00066,"TU Ø3/8 X 1155 MM ""J"" 1500W 440V TERMOST"
916,1,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC"
917,15,TUE00370,"TUB INOX 3/8""ØX95MM 900W115V CUADRADA"
918,4,CM65C1020B02,CAS 6.5MMØX40MM 200W 127V EXT.3MT C/TJ
919,3,TEA00044,"TEA K 1/2""ØX254MMLON 1/2""-1/2""NPT CAB/MA"
920,3,TEE00024,"TER K CAL. 8 x10"" C/FUNDA CERAMICA 17MM"
921,1,AK00013,"AK 1/8""ØX15"" CONEC3/8""NPTX5/16"" CLAV MAC"
922,21,TUA00464,"TUB INOX ALETADA 7/16""ØX26CM 950W277V U"
923,2,TP00007,TIRA P INOX. 300mmx38mm 500W 220V TORNIL
924,2,TUE00372,"TUB INOX 5/16""ØX352MMX215MM 900W127V TOR"
925,1,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
926,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
927,2,BO00047,BOB 8020 CAL.22 2.8MMØX2MT GAZA 50MM 127
928,3,BO00066,BOB 8020 CAL.22 2.8MMØX3MT GAZA 50MM 127
929,4,47980626,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V"
930,1,TUE00371,"TUB INOX 1/4""ØX150CM 900W 230V 27DOBLEZ"
931,1,TUE00172,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6"""
932,1,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
933,1,BN00158,BAN MICA INOX 33mmØx26mm 100W 230V CAJA
934,3,BO00044,BOB 8020 4MMØX600MM 1000W 127V T/OJILLO
935,6,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE"
936,3,TUE00198,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI"
937,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
938,3,TUE00122,"TUB INOX 5/16""Øx132MM 1000W 230V ESP/CAB"
939,1,TJ00081,TER J 6MMØX21MM EXT.1.5MTS MALLA/RESORTE
940,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
941,1,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
942,1,TUE00267,"TUB INOX 5/16""ØX296MM 1300W 110V ""M"" ESP"
943,2,TUA00472,"TUB INOX 1/2""ØX345MM 500W240V U BUSH-M18"
944,2,TUA00437,"TUB INOX 1/2""ØX246MM 3000W480V ""M"" BUSH"
945,1,PJ06C1CHB000,"TER J 6MMØX2""  EXT.50CM F/SILICON Z/PIN"
946,20,PT00011,PT-100 FORMA ESPECIAL EXT. DE 1.5 MTS
947,6,TUA00258,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT"
948,3,BN00055,BN INOX 111MMØX85MM 1000W127V CIERRE STD
949,10,ABRAZA01,ABRAZADERA INOX PARA AJUSTE 2 pz c/u
950,3,TUS00001,"TUB RECTA 1/2øX800mm 950W 140V"""
951,3,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR"
952,7,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
953,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
954,8,CBS00043,"CART INOX 3/4""x24"" LONG 1500W 220V"
955,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
956,1,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8"""
957,5,TUA00134,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V"
958,1,BN00265,BAN INOX 192MMØX150MM 3500W 440V C/ALLEN
959,2,RP00212,REPACION A SELLADORA DE BANDA CONTINUA
960,2,BOBINA004,RESIST TIPO BOBINA CAL. 6 DSD 30 KW 440V
961,3,RPISTOLA01,PISTOLA DE AIRE 3500W 220V
962,1,BC00029,BC INOX 245MMØX346MM 6KW 480V EXT3MTS
963,1,TP00012,"TIRA INOX 38MMX60CM 1000W220V T/TIPO ""C"""
964,2,TUE00373,"TUB INOX 5/16""ØX76CM 1200W 230V ESP"
965,2,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
966,10,MA00001,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT"
967,2,EE00067,FAB BOB 100MMX200MM 4500W480W AHOGA/ALUC
968,1,EE00068,FAB BOB 100MMX500MM 7500W480W AHOGA/ALUC
969,2,CBE00032,"CBE 5/8""ØX1.75MTLON 1500W440V T/PLICA"
970,2,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
971,4,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA"
972,2,TUE00374,"TUB INOX 1/4""ØX155MM 930W127V ESP-7DOBLE"
973,5,TUE00216,"TUB INOX 3/8""Øx4040mm ESP 4000W 254V"
974,12,CBS00075,"CBS INOX 5/8""ØX152MM 400W 220V EXT.35CM"
975,15,CS58K2105AA1,"CAS INOX 5/8""ØX5 1/2"" 1050W 240V ESC90°"
976,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
977,20,PT00090,PT-100 6MMØX6CM EXT 4MT TEFLON 4HILOS
978,20,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
979,4,TUE00034,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA"""
980,2,TJ00094,"TER J 1/4""ØX6"" EXT3MT CONEC/DESLIZ 1/4""Ø"
981,1,TUA00462,"TUB INOX 5/16""ØX25CM 3000W240V ""U""T/PUMA"
982,1,TUE00365,"TUB INOX 5/16""ØX315MM 3KW240V 3 ELIPSES"
983,1,TK00066,TER K  PUNTA PINX60CM MALLA INOX ZAP/PIN
984,10,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT
985,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
986,1,TUA00249,"TUB INOX 1/2""Øx650mm U 12KW 220V TAPON"
987,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
988,1,RC00030,"RC 5/8""ØX75CM 4200W 480V CLAVIJA T/PLANC"
989,3,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
990,12,CS34S2075A00,"CAS INOX 3/4""ØX16"" 750W 240V EXT.30CM"
991,10,CS34S2100A00,"CAS INOX 3/4""ØX16"" 1000W 240V EXT.30CM"
992,2,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
993,1,47980590,"TUBULAR U"" 11mmØx510mm 3kW 460V 3pz"""
994,1,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316"""
995,1,93980465,TERMOPAR K DOBLE CAL14x21 FUNDA CERAMICA
996,4,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316"""
997,20,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS"
998,1,P25601AB0600,"PT-100 5/16""ØX1MT CON1/2""-1/2""NPT C/MARI"
999,8,CS12N1050A00,"CAS INOX 1/2""ØX8"" 500W 127V EXT30CM"
1000,1,TUS00126,"TUS INOX 5/16""ØX30CM 1000W 127V ""U"""
1001,3,BC00010,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ"
1002,2,RB00003,BOB 8020 CAL.19 1612W 127V CER-10CANALES
1003,2,RB00010,BOB 8020 CAL.19 1612W 127V CER-8CANALES
1004,2,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM"
1005,2,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
1006,9,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT
1007,1,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT
1008,1,CAS00086,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT
1009,2,BP00268,BAN P INOX 75MMX254MM 350W 127V T/TOR
1010,1,TUA00098,"TUB INOX.5/16""Øx473mm U 2500W 220V TAPO"
1011,2,BP00268,BAN P INOX 75MMX254MM 350W 127V T/TOR
1012,3,TUA00468,"TUB INOX 7/16""ØX595MM 5000W 220V ""U"" BUS"
1013,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1014,1,ECQ-00974,TUBULAR 11mmØx450mm 4500W 480V 6pz
1015,1,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1016,2,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC"
1017,1,TUA00473,"TUB INOX 5/16""ØX205MM 1000W 127V ""U"" BUS"
1018,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
1019,10,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT
1020,3,TUE00161,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA"
1021,4,CS12J1075A00,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM"
1022,4,CAE00045,"CAS INOX 1/2""ØX41/2"" 500W127V ESCUADRA"
1023,2,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1024,2,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT
1025,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1026,10,CAS00063,"CAS INOX1/4""ØX4 1/2"" 350W240V ESCUADRA"
1027,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
1028,1,TUE00376,"TUB INOX 3/8""ØX66MMØ 250W 127V CIRCULAR"
1029,10,PK31A1I1A000,"TER K 3/16""ØX1"" EXT.7MTS MALLA  Z/ESPADA"
1030,3,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V"""
1031,14,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1032,6,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT
1033,1,RP00213,REPARACION MARCADORA DE LLANTAS
1034,1,RP00214,REPARACION DE SELLADORA DE 30CM
1035,1,TUA00474,"TUB INOX 1/2""ØX500MM 9000W 240V C/PLACA"
1036,1,TUE00094,"TUB INOX 1/2""ØX495MM 3000W220V U PLA/ACO"
1037,1,TUA00441,"TUB INOX 3/8""ØX235MM 3300W 230V CLIP/PLA"
1038,2,TUA00027,"TUB INOX 1/2X903mm 3000W 120V BUSHING"""
1039,2,TP00007,TIRA P INOX. 300mmx38mm 500W 220V TORNIL
1040,2,CS38H1020A00,"CAS INOX 3/8""ØX4"" 200W 127V EXT.30CM"
1041,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
1042,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
1043,2,TUA00009,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP"
1044,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
1045,1,TUE00375,"TUB INOX 7/16""ØX505MM 4500W 440V U/PLAC"
1046,1,TUE00378,"TUB INOX 1/2""ØX746MM 30KW 440V ""U"" BRI8"""
1047,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1048,1,TUA00475,"TUB INOX 5/16""ØX30CM 2000W 240V ""M"" BUSH"
1049,1,TUS00127,"TUB INOX 1/4""ØX1105MM 900W 127V RECTA/ZA"
1050,1,PJ31G1AB0600,"TER J 3/16""ØX8"" CON 1/2""-1/2"" NPT C/MAR"
1051,1,TUA00476,"TUB COBRE 5/16""ØX158MM 1250W 127V ""J""TAP"
1052,3,TEA00105,"TER K 5/16""ØX310MM CON-1/2""NPT PROC C/MA"
1053,2,TUA00033,"TUB U"" 7/16""x500mm 7000W480V 3PZ/1JGO"""
1054,3,TUS00001,"TUB RECTA 1/2øX800mm 950W 140V"""
1055,6,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR"
1056,6,TEA00017,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM"
1057,1,TUE00379,"TUB INOX 1/2""ØX360MM 1500W 480V ESP"
1058,3,TUE00377,"TUB INOX 5/16""ØX90CM 1500W 480V ""L"" TOR"
1059,4,TP00008,TIRA INOX 38MMX60CM 1000W 220V T/CENTRO
1060,2,TUE00063,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE"
1061,1,TUE00129,TUE Ø 8 MM X 303 APROX 5000 W 220 V
1062,1,TUE00334,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA"
1063,1,RP00001,REPARACION TUBO PYREX 7.2 OHMS
1064,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
1065,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
1066,1,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
1067,1,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH"
1068,1,TUA00459,"TUB INOX 7/16""ØX42CM 2000W 240V ""M"" BUSH"
1069,4,CAS00051,"CAR INOX 3/8""Øx26CMS LONG 1200W 127V CAB"
1070,4,CBS00007,"CBS INOX 3/8"" DE ØX61CMTS1200W127V TF"
1071,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1072,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1073,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1074,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1075,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1076,18,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA
1077,18,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA
1078,4,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
1079,8,EE00071,FAB RESISTENCIA DSD CAL.12 X40CMX10CM
1080,2,BC00006,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA
1081,2,BL00002,BL INOX 60mmØx50mm 400W 120/240V EXT30CM
1082,2,BN00145,BAN INOX 146MMØX40MM 500W230V CINT/ALLEN
1083,2,BN00146,"BAN INOX 9""ØX3"" ANCH 1700W 230V T/CABLE"
1084,1,PT00079,PT-100 7.5MMØX95MM EXT.48CM 3H C/MACHO
1085,10,PT00083,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA
1086,5,TEA00100,TEA J 6MMØX30MM EXT.2MT RESOR/BOY2G/CLAV
1087,3,TUE00380,"TUB INOX 7/16""ØX330MM 1100W 210V ALE/BUS"
1088,3,TUA00053,"TUA ""U"" 1/2""Øx18"" 4kW 220V BUSHING LATON"
1089,3,CS58L2050A00,"CAS INOX 5/8""ØX6"" 500W 240V EXT30CM"
1090,10,PRECA003,"PRECALENTADOR 2""Øx61/2""  500W127V"
1091,4,TUA00189,"TUA ""U"" 7/16""X1000mm 5KW 440V C/TAP LAT"
1092,4,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1093,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1094,4,TP00010,TIRA INOX 38MMX45CM 750W220V TER/TIPO H
1095,2,BN00266,BAN INOX 260MMØX35MM 1000W 440V EXT30CM
1096,10,CERAISON-14-28,CERAMICO OVALADO P/ ELEMENTO C-14- 2 BAR
1097,7,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1098,30,TUA00247,"TUB INOX 7/16""Øx950mm U 2777W 440V BUSHI"
1099,3,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1100,2,TUE00184,"TUB INOX. 5/16""Øx1160mm 1750W120V BUSHIN"
1101,2,TUE00382,"TUB INOX 1/2""ØX80CM 80KW 440V ""U"" PLAC"
1102,10,TUA00436,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT"
1103,1,AK00010,"AK 1/16""ØX265MM EXT1MT MALLA  C/MACHO"
1104,4,EE00063,FABRICACIÓN ESPECIAL 1300W 115V
1105,2,CS58D2030A00,"CAS INOX 5/8""ØX2"" 300W 240V EXT.30CM"
1106,2,CS12D2030A00,"CAS INOX 1/2""ØX2"" 300W 240V EXT30CM"
1107,8,TUA00200,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP"
1108,1,TUE00383,"TUB INOX 5/16""ØX390MM 3350W 240V ESP/ZAP"
1109,1,TUA00477,"TUB INOX 7/16""ØX277MM 2000W 220V ""M"" BUS"
1110,2,CS38D1017B00,"CAS INOX 3/8""ØX11/2"" 175W127V C/TJ EXT30"
1111,4,CAS00013,"CAS INOX. 3/8""Øx4"" LONG 500W 120V CABLE"
1112,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
1113,1,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT"""
1114,1,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT"""
1115,4,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1116,1,TEA00106,"TER K 1/4""ØX4"" CON1/2""-1/2"" NPT C/MAR"
1117,5,TP0007,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 7 MT
1118,10,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT"""
1119,1,BL00060,BAN M/LUNA 190MMØX230MMX46MM 1350W127V T
1120,1,TUE00381,"TUB INOX 1/4""ØX1450MM ""U"" ESP 7500W440V"
1121,2,BP00183,BAN P COMUN 24MMØX108CM 1750W220V T/TORN
1122,1,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
1123,3,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14"""
1124,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT
1125,1,RP00216,REPARACION MUFLA DE 3600W 230V
1126,4,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V"
1127,1,BP00269,BAN P INOX 155MMX80MM 343W 220V EXT30CM
1128,4,BB2X2ST,"BOQUILLA 2X2""  350W 240V"""
1129,3,EE00072,BASTIDOR RESISTENCIAS ELSTEIN 12KW 460V
1130,2,BN00267,BAN INOX 298MMØX50MM 1500W 240V T/TOR
1131,2,BN00268,BAN INOX DE 176MMØX100MM 2000W 240V T/TO
1132,1,RP00220,REPARACION HORNO 1000W 110V
1133,3,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V"
1134,10,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8"""
1135,6,TUA00478,"TUB INOX 7/16""ØX495MM 3000W 240V BUSH"
1136,1,47980590,"TUBULAR U"" 11mmØx510mm 3kW 460V 3pz"""
1137,1,47980626,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V"
1138,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM"
1139,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC"
1140,10,TUE00112,"TUB ""J"" Ø 3/8 X 1155 MM TOTAL 2400 W 440"
1141,5,TUE00113,"TU ""J"" Ø 3/8 X 1155 MM 2400W 440V TERMOS"
1142,4,CS38H1040A11,"CAS INOX 3/8""ØX4"" 400W 127V EXT 1M/SOGUI"
1143,20,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V"""
1144,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
1145,1,TUA00475,"TUB INOX 5/16""ØX30CM 2000W 240V ""M"" BUSH"
1146,6,TUS00109,"TUB INOX 7/16""ØX72CM 1000W 220V RECTA"
1147,1,TUE00385,"TUB INOX 1/4""ØX215MMX175MM 820W110V CUAD"
1148,1,TU5/16X215V240W,"TUB INOX 5/16""ØX215MM 1500W 240V U 1""NPT"
1149,6,70001691,CALTA 8MM Ø X 240 MM 500 W 220 V RECTO
1150,10,70001693,CARTUCHO 8MMØ X290MM 500W 220V
1151,10,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V
1152,10,70001696,CARTUCHO Ø 8MM X 520 MM 500 W 220 V
1153,7,70001697,CARTUCHO DE 8MM X 590MM LONG. 500W 220V
1154,10,70001698,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V
1155,10,70007685,"CARTUCHO ALTA 1/4 Ø X 12 500 W 220V"""
1156,3,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA"
1157,1,BP00270,BAN P INOX 121MMX121MM 250W 240V ESP
1158,1,BP00271,BAN P INOX 255MMX120MM 1250W 240V T/TOR
1159,1,BP00272,BAN P INOX 260MMX186MM 1800W 240V T/TOR
1160,1,BP00273,BAN P INOX 120MMX47.5MMX23MM 250W 240V T
1161,10,CAS00083,CAS INOX 12.5MMØX125MM 300W 280V EXT1MT
1162,10,CAS00084,CAS INOX 12.5MMØX165MM 300W 280V EXT.1MT
1163,1,CAS00085,CAS INOX 12.5MMØX265MM 400W 280V EXT.1MT
1164,1,CAS00086,CAS INOX 12.5MMØX85MM 150W 280V EXT.1MT
1165,3,TUS00001,"TUB RECTA 1/2øX800mm 950W 140V"""
1166,6,TUA00021,"TUB U"" 7/16 Ø X50 CM 10 KW 440 V DELTA"""
1167,1,TU5/16X203V240W,"TUB INOX 5/16""ØX203MM 1500W 240V U TAP1"""
1168,1,TUE00386,"TUB INOX 1/4""ØX113CM 1000W 127V ESPECIAL"
1169,6,CAS00073,CAS INOX 8MMØX120MM 350W260V EXT.1.5MT
1170,6,CAS00074,CAS INOX 12.5MMØX200MM 1300W260V EXT1.5M
1171,1,RP00222,REPARACION DE TERMINALES DE CARTUCHO
1172,2,TUA00057,"TUA INCOLOY 1/2""ØX59CM 15KW220V T2 1/2"""
1173,11,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA
