,CANT,CVE_ART,DESCR
605,2,PT00084,PT-100 6MMØX110MM EXT15MTS TEFLON/ZAP
606,8,PT00010,"PT-100 DE Ø 3/16 X4"" DE LONG. 80 CM"
607,5,TUA00127,"TUB INOX 7/16""Øx500mm U 3000W 220V BU5/8"
608,8,TUA00321,"TUB INOX 5/16""ØX142MM ""J"" 1000W120V SAND"
609,2,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN"
610,3,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT
611,1,RP00002,REPARACION HORNO 1500W 120V
612,4,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz"""
613,1,TUA00311,"TUB INOX 3/8""ØX186.5CM ""U"" 3000W220V CAP"
614,6,TUE00068,"TUB INOX 7/16""ØX498MM 3000W220V M ESP/PL"
615,60,CAS00080,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM
616,1,TUS00090,"TUB INOX 3/8""ØX775MM 850W 120V RECTA TOR"
617,20,TEA00058,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL"
618,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
619,15,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V
620,8,70001692,CARTUCHO Ø8MM X 260MM 500W 220V
621,6,70001684,CARTUCHO Ø 10 MM X 460 MM 500W 220V
622,1,RP00198,FABRICACION TUB  J INOX 2000W 127V C/TE
623,10,CAS00034,"CART INOX 1/2""Øx16CMS 700W 120V CABLE 50"
624,2,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT
625,28,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT
626,1,TEA00101,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT"
627,2,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8"""
628,2,TUS00122,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°"
629,3,TUS00122,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°"
630,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT
631,2,CS58G1030A00,"CAS INOX 5/8""ØX3 1/2"" 300W 127V EXT30CM"
632,3,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V"""
633,2,BP00264,BAN P INOX 80MMØX255MM 450W 220V T/TOR
634,2,CAS00043,"CART INOX 1/2""Øx3"" 250W 230V CABLE STD"
635,6,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L"
636,4,47980626,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V"
637,2,MR8-250-11-13,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM
638,4,TUA00449,"TUB INOX 5/16""ØX25CM 1000W127V 1""NPTCAJA"
639,2,TUA00450,"TUB INOX 5/16""ØX25CM 250OW127V 1""NPTCAJA"
640,10,TUA00049,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG"""
641,8,CBE00012,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC"
642,5,CBE00040,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL"
643,2,TK00065,"TER K 1/4""ØX3/4"" TORNILLO/LOCO EXT.80CM"
644,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT
645,5,47980075,TUBULAR 11mmØx850mm 6kW 500V 6pz
646,16,47980249,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L"
647,6,CAS00079,CAS INOX 12MMØX230MM 950W440V EXT.30CM
648,1,TUE00101,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA"
649,4,AK00012,"AK DOBLE 3/16""ØX530MM PLACA-CER4POLOS"
650,2,TUA00445,"TUB INOX 5/16""ØX23CM 500W127V CLIP 11/4"""
651,1,CBE00039,"CBE INOX 1/2""ØX120MM 110W115V EX50CM CON"
652,2,TJ00091,TER J 4MMØX65MM EXT1M MALLA INOX TRAN6MM
653,2,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V"""
654,36,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO
655,1,TUA00325,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6"""
656,2,BN00256,BAN A/COMUN 165MMØX89MM 1200W440V C/STD
657,2,BN00257,BAN A/COMUN 258MMØX35MM 1000W440V T/TOR
658,1,BP00263,BAN P A/COMUN 185MMX245MM 1200W440V T/TO
659,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V"""
